Title,Company,Experience,Salary,Location,Skills,Link
Production Supervisor,Harbisonwalker International,2-3 Yrs,Not disclosed,Katni,"EHS, OPEX, PPC, Value added services, Production planning, Warehouse management, Raw material, Monitoring",https://www.naukri.com/job-listings-production-supervisor-harbisonwalker-international-katni-2-to-3-years-260225502466
Production Supervisor,Archita Shudhi Industries,4-5 Yrs,Not disclosed,Kanpur,"Production Supervisor, Production, Production supervising",https://www.naukri.com/job-listings-production-supervisor-archita-shudhi-industries-private-limited-kanpur-4-to-5-years-251124503771
Production Officer,ZIM Laboratories,1-4 Yrs,Not disclosed,Nagpur,"Manufacturing process, Process validation, FBD, Management, Production, Data validation, Process, Manufacturing",https://www.naukri.com/job-listings-production-officer-zim-laboratories-limited-nagpur-1-to-4-years-261023500819
Chemist/Officer - Production,Global Calcium,1-6 Yrs,Not disclosed,Hosur,"Housekeeping, HACCP, ISO 9001, External audit, Raw material, Monitoring, ISO, Production",https://www.naukri.com/job-listings-chemist-officer-production-global-calcium-pvt-ltd-hosur-1-to-6-years-260924502751
Production Supervisor,Harbisonwalker International,2-3 Yrs,Not disclosed,Katni,"OPEX, EHS, Production Supervisor, Production planning, Inprocess quality, Manager Quality Control, Warehouse management, STM",https://www.naukri.com/job-listings-production-supervisor-harbisonwalker-international-katni-2-to-3-years-260225501308
Production Supervisor,Calderys India Refractories,2-3 Yrs,Not disclosed,Katni,"EHS, OPEX, PPC, Value added services, Production planning, Warehouse management, Raw material, Monitoring",https://www.naukri.com/job-listings-production-supervisor-calderys-india-refractories-limited-katni-2-to-3-years-250225502981
Officer - Production,Dishman Carbogen Amcis,1-7 Yrs,Not disclosed,Ahmedabad,"Training, Monitoring, Production",https://www.naukri.com/job-listings-officer-production-dishman-group-ahmedabad-1-to-7-years-260225501957
CAD Engineer,Tickoo Institute of Emerging Technologies (TIET),1-3 Yrs,Not disclosed,Gurugram,"CATIA, HyperMesh, Solid edge, AutoCAD, Production engineering, CAD, Ansys, Consulting",https://www.naukri.com/job-listings-cad-engineer-tickoo-institute-of-emerging-technologies-gurugram-1-to-3-years-250219501298
Software Engineers,mycityband,3-6 Yrs,Not disclosed,Delhi,"Sql Server 2008, VB.NET, .Net, Software implementation, Serv, Server, VB, Software",https://www.naukri.com/job-listings-software-engineers-mycityband-delhi-3-to-6-years-270220501770
Engineer,Ratnam Group,1-5 Yrs,Not disclosed,Vadodara,"new projects, project management, mechanical engineering, production, engineering, autocad, new product development, budgeting",https://www.naukri.com/job-listings-engineer-ratnam-group-vadodara-1-to-5-years-260225503593
Production Manager,DOUBLE HR CONSULTANCY,15-20 Yrs,Not disclosed,"Bhiwandi, Thane","Housekeeping, Rework, Team management, Attrition management, Shop floor, Process capability, Production engineering, Project management",https://www.naukri.com/job-listings-production-manager-double-hr-consultancy-bhiwandi-thane-15-to-20-years-270323501950
Software Engineer,Kovair Software,2-4 Yrs,Not disclosed,Kolkata,"C, code, Service, developing, microsoft, SQL, English, Rest",https://www.naukri.com/job-listings-software-engineer-kovair-software-pvt-ltd-kolkata-2-to-4-years-250417506561
Mechanical Engineer,Kaushik Engineering Works,1-6 Yrs,Not disclosed,Ahmedabad,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-kaushik-engineering-works-ahmedabad-1-to-6-years-270225501761
Deputy Engineer - EDM,Amara Raja Energy & Mobility Limited,3-6 Yrs,Not disclosed,"Tirupati, Chittoor","quality control, iso, production, equipment, engineering, autocad, kaizen, manpower handling",https://www.naukri.com/job-listings-deputy-engineer-edm-amara-raja-batt-tirupati-chittoor-3-to-6-years-260624500678
Techno - Commercial Engineer,Multispan Control Instrument,1-4 Yrs,Not disclosed,Ahmedabad,"Procurement, Sales, Production engineering, Market research, Data processing, Power electronics, Techno-commercial, Analytics",https://www.naukri.com/job-listings-techno-commercial-engineer-multispan-control-instruments-pvt-ltd-ahmedabad-1-to-4-years-251024500751
Mechanical Engineers,ABL Infrastructure,4-7 Yrs,Not disclosed,Nashik,"mechanical engg, mechanical engineering, production, cad, autocad, catia, product design, manpower handling",https://www.naukri.com/job-listings-mechanical-engineers-abl-infrastructure-pvt-ltd-nashik-4-to-7-years-251024501632
Engineer / Sr. Engineer - Metal Tribology / Wear and Metallurgy Eng,Schwing Stetter,2-5 Yrs,Not disclosed,Sriperumbudur,"3D, Solid edge, Design development, Metallurgy, Metal, Engineering, Solid, Tribology",https://www.naukri.com/job-listings-engineer-sr-engineer-metal-tribology-wear-and-metallurgy-eng-schwing-stetter-india-pvt-ltd-sriperumbudur-2-to-5-years-250924500930
Production supervisor,Dhiman Foods,4-8 Yrs,Not disclosed,Nakodar,"employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-dhiman-foods-pvt-ltd-nakodar-4-to-8-years-240724501365
Production Manager,Sankar NP Japan Private Limited,12-20 Yrs,6-10 Lacs PA,Chennai(Thirumazhisai),"Line Balancing, Team Management Skills, OEE, Factory Operations, Manpower Handling, Press Shop, Screen, Production Management",https://www.naukri.com/job-listings-production-manager-sankar-np-japan-private-limited-chennai-12-to-20-years-240424014022
Production Supervisor,Eagle Plant Protect,3-6 Yrs,Not disclosed,Ahmedabad,"employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-eagle-plant-protect-ahmedabad-3-to-6-years-240724501285
Production Supervisor,D Source,2-5 Yrs,Not disclosed,Nashik,"Production Supervisor, Usage, Production supervising, MIN, Product service, Mechanical, ESIC, Workflow",https://www.naukri.com/job-listings-production-supervisor-d-source-nashik-2-to-5-years-240123501710
Production Supervisor,D Source,2-3 Yrs,Not disclosed,Nashik,"Supervisor, Production Supervisor, Usage, MIN, Product service, Mechanical, ESIC, Workflow",https://www.naukri.com/job-listings-production-supervisor-d-source-nashik-2-to-3-years-240123501727
Quality- Engineer/Sr. Engineer | Kishangarh,SAEL Industries Limited,3-6 Yrs,3-7.5 Lacs PA,Kishangarh,"QC, Quality Check, Quality Control, Quality Monitoring, Quality Analysis, FQA, FQC, Quality engineering",https://www.naukri.com/job-listings-quality-engineer-sr-engineer-kishangarh-sael-industries-limited-kishangarh-3-to-6-years-241224017496
Production Manager,D Source,3-4 Yrs,Not disclosed,Nashik,"Training, Product service, Time management, Mechanical, Supervision, Management, Time Managements, Production management",https://www.naukri.com/job-listings-production-manager-d-source-nashik-3-to-4-years-240123500860
Senior Engineer,Amara Raja Energy & Mobility Limited,8-13 Yrs,Not disclosed,Chittoor,"Training, QCC, Poka Yoke, Auditing, Senior, Yoke, Poka",https://www.naukri.com/job-listings-senior-engineer-amara-raja-batt-chittoor-8-to-13-years-240225503292
Mechnical Engineer,Dr Amin Controllers,8-10 Yrs,Not disclosed,Raipur,"Mechanical, Plant quality, Site Incharge, Manager Quality Control, Control, Site, Management, Quality control management",https://www.naukri.com/job-listings-mechnical-engineer-dr-amin-controllers-pvt-ltd-raipur-8-to-10-years-240524500467
Mechanical Engineer,Citizen Metalloys,1-2 Yrs,Not disclosed,Ahmedabad,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-citizen-metalloys-ahmedabad-1-to-2-years-240125500994
Production Manager,Shri Krishna Placement,3-5 Yrs,Not disclosed,Rajkot,"Production engineering, Mechanical, Management, Production management, Production, Engineering",https://www.naukri.com/job-listings-production-manager-shri-krishna-placement-rajkot-3-to-5-years-240320500579
Head of Talent Fulfillment,Ciklum,10-15 Yrs,Not disclosed,Chennai,"Head Business Development, Change management, Talent acquisition, Workforce planning, Strategic planning, Stakeholder management, Operations, Analytics",https://www.naukri.com/job-listings-head-of-talent-fulfillment-ciklum-chennai-10-to-15-years-240325502501
Head / Associate Director - Marketing,NovelVox Softwares India Pvt. Ltd.,12-15 Yrs,Not disclosed,Faridabad,"Product Marketing, Marketing Strategy, Brand Marketing, Strategic Marketing Planning, Growth Marketing, Marketing Campaigns, Abm, Performance Marketing",https://www.naukri.com/job-listings-head-associate-director-marketing-novelvox-softwares-india-pvt-ltd-faridabad-12-to-15-years-240325022255
Engineer,AARNA HR SOLUTIONS PVT. LTD.,3-4 Yrs,Not disclosed,"Kolar, Kolar","development, japanese, resin, drafting, japan, cad, chassis, automotive",https://www.naukri.com/job-listings-engineer-aarna-hr-solutions-pvt-ltd-kolar-kolar-3-to-4-years-241116500041
Production Manager,Shri Krishna Placement,10-15 Yrs,Not disclosed,Rajkot,"Production engineering, Mechanical, Production, Production management, Management, Engineering",https://www.naukri.com/job-listings-production-manager-shri-krishna-placement-rajkot-10-to-15-years-241019501850
Software Engineers,Savvysoft Technologies Pvt. Ltd.,6-11 Yrs,Not disclosed,Chennai,"jQuery, Javascript, CMS, HTML, JSON, WCF, MVC, Stored procedures",https://www.naukri.com/job-listings-software-engineers-savvysoft-technologies-pvt-ltd-chennai-6-to-11-years-241222500328
Senior Software Engineer,Kovair Software,4-5 Yrs,Not disclosed,Kolkata,"development, code, analytical, developing, microsoft, web applications, javascript, sql server",https://www.naukri.com/job-listings-senior-software-engineer-kovair-software-pvt-ltd-kolkata-4-to-5-years-250117500008
Prod Engineer,Kavya Management Services,2-4 Yrs,Not disclosed,"Noida, Greater Noida","Process audit, Fabrication Supervisor, AutoCAD, Robotic painting, Production planning, Sheet metal, Production engineering, Manpower handling",https://www.naukri.com/job-listings-prod-engineer-kavya-management-services-noida-greater-noida-2-to-4-years-250123501323
Electrical & Instrumentation Engineer,Banco Aluminium,2-6 Yrs,Not disclosed,Vadodara,"Fabrication, Pumps, Production engineering, Packaging, Instrumentation, Heat exchangers, HSE, SCM",https://www.naukri.com/job-listings-electrical-instrumentation-engineer-banco-aluminium-vadodara-2-to-6-years-240724500994
Steel / Hull - Sr . Engineer,Lavgan Dockyard,9-13 Yrs,Not disclosed,Ratnagiri,"Steel/Hull Sr. Engineer, Steel, Engineering, SR",https://www.naukri.com/job-listings-steel-hull-sr-engineer-lavgan-dockyard-private-limited-ratnagiri-9-to-13-years-240225501797
IT Recruiters| Perm hiring| Chennai | WFO,CIEL,1-4 Yrs,1-4 Lacs PA,Chennai,"IT Recruitment, IT Staffing, End To End Recruitment, It Hiring, Technical Recruitment, Talent Acquisition, Recruitment, Technical Hiring",https://www.naukri.com/job-listings-it-perm-hiring-chennai-wfo-ciel-hr-chennai-1-to-4-years-220325011253
Production Supervisor,D Source,1-2 Yrs,Not disclosed,Nashik,"Production Supervisor, Usage, MIN, Product service, Sheet metal, Mechanical, Workflow, Supervision",https://www.naukri.com/job-listings-production-supervisor-d-source-nashik-1-to-2-years-240123500716
Software Engineer,Kovair Software,2-4 Yrs,Not disclosed,Kolkata,"rest, code, analytical, developing, microsoft, dot net, communication skill, sql server",https://www.naukri.com/job-listings-software-engineer-kovair-software-pvt-ltd-kolkata-2-to-4-years-220816500571
Dotnet Engineer (Mid/Senior),Krazy Mantra It,2-5 Yrs,Not disclosed,Gurugram,"new projects, site execution, project management, apqp, iso, production, engineering, autocad",https://www.naukri.com/job-listings-dotnet-engineer-mid-senior-krazy-mantra-group-of-companies-gurugram-2-to-5-years-220125500601
Jr. Engineer / Sr. Engineer,Coach International Technique,2-4 Yrs,Not disclosed,Palanpur,"Head Business Development, AutoCAD, ISO systems, Work instruction, New product development, MS Office, Design Head, Document control",https://www.naukri.com/job-listings-jr-engineer-sr-engineer-coach-international-technique-palanpur-2-to-4-years-231024502017
Production and Planning Manager,D Source,4-5 Yrs,Not disclosed,Nashik,"MIN, Production planning control, Product service, Production operations, Mechanical, ESIC, Workflow, Control plan",https://www.naukri.com/job-listings-production-and-planning-manager-d-source-nashik-4-to-5-years-211122500106
MANAGER / SUPERVISOR ( PRODUCTION ),Impact Fire Safety Appliances,3-10 Yrs,Not disclosed,New Delhi,"employee relations, production, training, policies and procedures, manpower handling, employee engagement, recruitment, safety",https://www.naukri.com/job-listings-manager-supervisor-production-impact-fire-and-safety-appliances-private-limited-new-delhi-3-to-10-years-211024503745
bsp;2. Production Operator,Genewin Biotech,3-5 Yrs,Not disclosed,Hosur,"Production Operator, Production scheduling, Scheduling, Operating, Production, Bsp, Production operations",https://www.naukri.com/job-listings-bsp-2-production-operator-genewin-biotech-hosur-3-to-5-years-221024502296
Engineer / Sr. Engineer,Coach International Technique,3-5 Yrs,Not disclosed,Palanpur,"Training, Corporate Head, Head Business Development, Mechanical, Surface finishing, Supervision, Surface, Corporate",https://www.naukri.com/job-listings-engineer-sr-engineer-coach-international-technique-palanpur-3-to-5-years-231024502014
Field Quality Engineer,Conveline,3-8 Yrs,Not disclosed,Ahmedabad,"field quality, Mechanical engineering, Mechanical, Quality, Engineering, Field",https://www.naukri.com/job-listings-field-quality-engineer-conveline-systems-pvt-ltd-ahmedabad-3-to-8-years-221024503449
Shift Engineer,Jit Industries,3-7 Yrs,Not disclosed,Rajkot,"Data analysis, Process optimization, Material science, Team management, Metallurgy, Equipment maintenance, Manager Quality Control, Raw material",https://www.naukri.com/job-listings-shift-engineer-jit-industries-rajkot-3-to-7-years-231024502024
Production Manager,D Source,2-3 Yrs,Not disclosed,Nashik,"Fabrication, Training, Construction, MIN, Product service, Industrial products, Mechanical, Supervision",https://www.naukri.com/job-listings-production-manager-d-source-nashik-2-to-3-years-230922501529
Costing Engineer (Vehicle Exterior),A2Mac1,8-12 Yrs,Not disclosed,Chennai,"Analytical skills, Biw, Powertrain, Automobile, Costing, Customer satisfaction, Powder coating, Cost",https://www.naukri.com/job-listings-costing-engineer-vehicle-exterior-a2mac1-india-pvt-ltd-chennai-8-to-12-years-230524500774
Senior Engineer / Asst . Manager,Systematic Conscom,7-8 Yrs,Not disclosed,Noida,"project management, technical leadership, production, engineering, engineering management, detail engineering, autocad, new product development",https://www.naukri.com/job-listings-senior-engineer-asst-manager-systematic-conscom-ltd-noida-7-to-8-years-220524500021
Senior Software Engineer - WPF/WinForms UI Development,Semnox Solutions,4-5 Yrs,Not disclosed,Mangaluru,"UI development, Production support, Winforms, .Net, Unit testing, WPF, SQL, Software",https://www.naukri.com/job-listings-senior-software-engineer-wpf-winforms-ui-development-semnox-solutions-private-limited-mangaluru-4-to-5-years-230924500564
Sales Engineers : Inside & EPC sales,Classic Engineering Services,6-8 Yrs,Not disclosed,Delhi,"AutoCAD, Field sales, Production engineering, Mechanical, EPC, Vendor, Techno-commercial, Production",https://www.naukri.com/job-listings-sales-engineers-inside-epc-sales-classic-engineering-services-delhi-6-to-8-years-211118501897
Sales Engineers : End user & OEM sales,Classic Engineering Services,4-5 Yrs,Not disclosed,Delhi,"Sales, Networking, Production engineering, Market intelligence, Mechanical, EPC, Sales engineering, OEM sales",https://www.naukri.com/job-listings-sales-engineers-end-user-oem-sales-classic-engineering-services-delhi-4-to-5-years-211118501896
Extrusion Machine Operator/ Production Supervisors,Gala Thermo Shrink,10-12 Yrs,Not disclosed,Palghar,"Supervisor, Machine Operator, Production, Machine operating, Supervision, Operating, Extrusion, Production supervising",https://www.naukri.com/job-listings-extrusion-machine-operator-production-supervisors-gala-thermo-shrink-pvt-ltd-palghar-10-to-12-years-221024503436
Machine Shop engineer,Wika Instruments India,6-7 Yrs,Not disclosed,Palwal,"Supply chain, PPC, Lean manufacturing, ISO 9001, Machining process, Machine shop, Continuous improvement, IMS",https://www.naukri.com/job-listings-machine-shop-engineer-wika-instruments-india-pvt-ltd-palwal-6-to-7-years-211124504241
Service Engineers,Classic Engineering Services,4-5 Yrs,Not disclosed,Delhi,"Networking, Production engineering, Market intelligence, Mechanical, EPC, Servicing, Intelligence, Service engineering",https://www.naukri.com/job-listings-service-engineers-classic-engineering-services-delhi-4-to-5-years-211118501898
Production Supervisor,Balaji Engineers Kolhapur,1-5 Yrs,Not disclosed,Kolhapur,"Production Supervisor, Mechanical, Production, Production supervising",https://www.naukri.com/job-listings-production-supervisor-balaji-engineers-kolhapur-1-to-5-years-200624501611
PRODUCTION OPERATOR,Claroid Pharmaceuticals,2-3 Yrs,Not disclosed,Ahmedabad,"excel, Production Operator, Production operations, Production, Operating",https://www.naukri.com/job-listings-production-operator-claroid-pharmaceuticals-ahmedabad-2-to-3-years-200324502099
Mechanical Engineer,Sakthi Soyas,1-4 Yrs,Not disclosed,"Pollachi, Coimbatore","mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-sakthi-soyas-pollachi-coimbatore-1-to-4-years-200225503655
Junior & Senior Engineer,Sancraft Industries,5-10 Yrs,Not disclosed,Chennai,"Injection moulding, Quality standards, Sheet metal, Mechanical, Product design, Management, Continuous improvement, Die casting",https://www.naukri.com/job-listings-junior-senior-engineer-sancraft-industries-chennai-5-to-10-years-200325504981
QC Engineers,Rostfrei Steels,1-4 Yrs,Not disclosed,Palwal,"quality control, software testing, quality audit, production, documentation, process improvement, engineering, root cause analysis",https://www.naukri.com/job-listings-qc-engineers-rostfrei-steels-private-limited-palwal-1-to-4-years-210524500686
Production Professional,Obdu Alpha Pvt.ltd.,1-4 Yrs,Not disclosed,Ghaziabad,"resource management, project management, team management, general management, problem solving, marketing, operations, production planning control",https://www.naukri.com/job-listings-production-professional-obdu-alpha-pvt-ltd-ghaziabad-1-to-4-years-200225503622
Production Supervisor,D Source,1-2 Yrs,Not disclosed,Nashik,"Production Supervisor, Production supervising, MIN, Product service, Production engineering, Finance, Mechanical, Machinery",https://www.naukri.com/job-listings-production-supervisor-d-source-nashik-1-to-2-years-200922500553
GET / Jr . Engineer,Klaus Multiparking Systems,2-7 Yrs,Not disclosed,"Kochi, Thrissur, Kozhikode, Thiruvananthapuram","Fabrication, Usage, SAP, Costing, Google Analytics, QOS, Social media, Sheet metal",https://www.naukri.com/job-listings-get-jr-engineer-klaus-india-kochi-thrissur-kozhikode-thiruvananthapuram-2-to-7-years-210624500527
HR Recruiter,Finofy Technologies,6-11 Yrs,Not disclosed,Noida,"Sales, Social media, Advanced Excel, HR, MS Office, Recruitment, Excel, Microsoft",https://www.naukri.com/job-listings-hr-recruiter-finofy-technologies-noida-6-to-11-years-210325505845
Qualification: B.Tech/Diploma (Mechanical),Chanderpur Works,4-9 Yrs,Not disclosed,Yamunanagar,"Finished products, Heavy engineering, Mechanical, Manager Quality Control, Testing, Auditing, Quality control management, Quality control",https://www.naukri.com/job-listings-qualification-b-tech-diploma-mechanical-chanderpur-works-pvt-ltd-yamunanagar-4-to-9-years-210325502722
Mechanical Engineer,Al Cast Industries,2-5 Yrs,Not disclosed,Ranchi,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-alcast-industries-ranchi-2-to-5-years-210524500647
Production Executive,Vmeasure Automated Parcel Dimensioning,2-5 Yrs,Not disclosed,Chennai,"Basic, Production Executive, Production operations, Mechanical, Electronics, production, production operation, operations",https://www.naukri.com/job-listings-production-executive-vmeasure-automated-parcel-dimensioning-chennai-2-to-5-years-210323501250
Designation : Engineer - Proposal & Marketing Technical Support,Nirmal Energy,1-3 Yrs,Not disclosed,Ahmedabad,"Sales, AutoCAD, Chemical engineering, Production engineering, Proposal engineering, Order processing, Inside sales, Techno-commercial",https://www.naukri.com/job-listings-designation-engineer-proposal-marketing-technical-support-nirmal-energy-ltd-nel-ahmedabad-1-to-3-years-200125502688
Supervisor - Production,Vimalachal,2-3 Yrs,Not disclosed,Ahmedabad,"Printing, Production Supervisor, Packaging, Production, Supervision, Production supervising",https://www.naukri.com/job-listings-supervisor-production-vimalachal-print-pack-ahmedabad-2-to-3-years-201224502857
Sr. Mechanical Engineer,Baldwin Technology,3-6 Yrs,Not disclosed,Chennai,"PLM, Automation, ISO, Consulting, Packaging, MS Office, ANSI, Machinery",https://www.naukri.com/job-listings-sr-mechanical-engineer-baldwin-technology-company-inc-chennai-3-to-6-years-210125503101
Mid-Senior Full Stack Engineer,Outsourcedwell,3-6 Yrs,Not disclosed,Kolkata,"c#, gitlab, net development, javascript, visual studio, asp, communication skills, Stack",https://www.naukri.com/job-listings-mid-senior-full-stack-engineer-outsourced-well-kolkata-3-to-6-years-191224503717
Talent Acquisition - HRBP,BVR,7-11 Yrs,Not disclosed,"Tirupati, Vijayawada, Chennai","Contract Labour Management, Labour Laws, Statutory Compliance, Factory Act, Talent Sourcing, End To End Recruitment, Contract Labour, ESI Act",https://www.naukri.com/job-listings-talent-acquisition-hrbp-bvr-people-consulting-tirupati-vijayawada-chennai-7-to-11-years-210325010914
Sr. Mechanical Engineer,Barry Wehmiller,5-9 Yrs,Not disclosed,Chennai,"PLM, Automation, ISO, Consulting, Packaging, MS Office, ANSI, Machinery",https://www.naukri.com/job-listings-sr-mechanical-engineer-barry-wehmiller-chennai-5-to-9-years-210125502353
Engineer- Assembly Shop,Leadec,5-8 Yrs,Not disclosed,Tirupati,"TPM, Procurement, Housekeeping, Spare parts, Work management, Poka Yoke, Preventive maintenance, Monitoring",https://www.naukri.com/job-listings-engineer-assembly-shop-leadec-tirupati-5-to-8-years-200624501434
Production Editor,Exeter Premedia Services,4-5 Yrs,Not disclosed,Chennai,"Typesetting, Copy editing, Publishing, Manager Technology, Author, professional services, Management, Project Team Lead",https://www.naukri.com/job-listings-production-editor-exeter-premedia-services-chennai-4-to-5-years-200824500356
Production supervisor,Dhiman Foods,3-8 Yrs,Not disclosed,Nakodar,"employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-dhiman-foods-pvt-ltd-nakodar-3-to-8-years-190724501406
Assistant Supervisor Production,Mewar International,1-2 Yrs,Not disclosed,Udaipur,"Production Supervisor, Assistant Supervisor, HTML, Web designing, Management, Cost, Monitoring, Design",https://www.naukri.com/job-listings-assistant-supervisor-production-mewar-international-private-limited-udaipur-1-to-2-years-190924501547
Production Supervisor,Shanti Food (India),1-3 Yrs,Not disclosed,Rajkot,"Training, Usage, Interpersonal skills, Production Supervisor, DEC, Workflow, MS Office, Machinery",https://www.naukri.com/job-listings-production-supervisor-shanti-food-india-rajkot-1-to-3-years-171224500439
Production- Supervisor & PPC,Cosmo India,1-4 Yrs,Not disclosed,Gurugram,"daily production planning, ppc, shift planning, production, rejection control, manpower handling, team leading, manufacturing",https://www.naukri.com/job-listings-production-supervisor-ppc-cosmo-india-pvt-ltd-gurugram-1-to-4-years-191124503462
Automobile Engineer,Torcedu,1-4 Yrs,Not disclosed,Kochi,"mechanical engineering, production, engineering, manufacturing engineering, automobile, production management, manpower handling, automobile engineering",https://www.naukri.com/job-listings-automobile-engineer-torcedu-kochi-1-to-4-years-180325501036
Production Supervisor,Calderys India Refractories,2-3 Yrs,Not disclosed,Katni,"OPEX, EHS, Production Supervisor, Production planning, Inprocess quality, Manager Quality Control, Warehouse management, STM",https://www.naukri.com/job-listings-production-supervisor-calderys-india-refractories-limited-katni-2-to-3-years-190225504211
Quality Engineer,Ravi Brass,3-5 Yrs,Not disclosed,Jamnagar,"quality control, quality audit, production, engineering, quality analysis, qc, quality engineering, quality check",https://www.naukri.com/job-listings-quality-engineer-ravi-brass-india-pvt-ltd-jamnagar-3-to-5-years-190924503921
Software Engineer,SPAN IT Solutions,2-4 Yrs,Not disclosed,Gandhinagar,"Computer science, C++, ERP, Supply chain management, SOA, Database design, MySQL, Agile",https://www.naukri.com/job-listings-software-engineer-span-inspection-systems-pvt-ltd-gandhinagar-2-to-4-years-190522500200
Quality Engineer,Napl Group,4-6 Yrs,Not disclosed,Bhubaneswar,"quality control, quality audit, production, engineering, quality analysis, qc, quality engineering, quality check",https://www.naukri.com/job-listings-quality-engineer-napl-group-bhubaneswar-4-to-6-years-181024502102
Assistant Engineer - EDM,Amara Raja Energy & Mobility Limited,3-4 Yrs,Not disclosed,"Tirupati, Chittoor","mechanical engineering, production, preventive maintenance, maintenance engineering, engineering, autocad, manpower handling, safety",https://www.naukri.com/job-listings-assistant-engineer-edm-amara-raja-batt-tirupati-chittoor-3-to-4-years-180225501375
Electrical Engineer,Navgathi,2-4 Yrs,Not disclosed,Kochi,"Engineering services, Procurement, Electrical engineering, Technical consultancy, Construction, Production engineering, Marine engineering, MEP",https://www.naukri.com/job-listings-electrical-engineer-navgathi-marine-design-constructions-kochi-2-to-4-years-190822501572
Production Executive,Walkaroo International,1-4 Yrs,Not disclosed,Bahadurgarh,"daily production planning, executive production, shift planning, production, rejection control, documentation, gmp, production management",https://www.naukri.com/job-listings-production-executive-walkaroo-international-pvt-ltd-bahadurgarh-1-to-4-years-190924501852
Production Supervisor,Mold Masters,4-5 Yrs,Not disclosed,Remote,"TPM, Housekeeping, Cutting tools, Production Supervisor, AutoCAD, Analytical, Workflow, Troubleshooting",https://www.naukri.com/job-listings-production-supervisor-mold-masters-limited-remote-4-to-5-years-190924504101
Senior Engineer,Veerya Attachments,4-5 Yrs,Not disclosed,Kolar,"Procurement, ERP, SAP, Operational excellence, Lean manufacturing, Production planning, Production engineering, Analytical",https://www.naukri.com/job-listings-senior-engineer-veerya-attachments-private-limited-kolar-4-to-5-years-191224501546
Production Engineer,Bhagyashree Engineering,1-3 Yrs,2-2.5 Lacs PA,Nashik,"Stamping, Press Shop, Sheet Metal, Sheet, Production, Metal, Press, Production engineering",https://www.naukri.com/job-listings-production-engineer-bhagyashree-engineering-nashik-1-to-3-years-180325013416
Engineer - CNC Machine Shop - Plant -16,Sansera Engineering,5-11 Yrs,Not disclosed,Pantnagar,"TPM, Programming, Machine shop, Troubleshooting, Mechanical engineering, Performance monitoring, CNC machines, Machine",https://www.naukri.com/job-listings-engineer-cnc-machine-shop-plant-16-sansera-group-pantnagar-5-to-11-years-181024501267
Deputy Engineer,Amara Raja Energy & Mobility Limited,1-5 Yrs,Not disclosed,Chittoor,"QA, Roll forming, ISO documentation, SPC, Inspection, MS Office, Power press, Auditing",https://www.naukri.com/job-listings-deputy-engineer-amara-raja-batt-chittoor-1-to-5-years-190325513229
Sr. Software Engineer,Bharatiya Global Infomedia,5-10 Yrs,Not disclosed,Noida,"c#, development, technical, software, level, SSRS, Unit testing, SQL coding",https://www.naukri.com/job-listings-sr-software-engineer-bharatiya-global-infomedia-ltd-noida-5-to-10-years-180918500104
Quality Resident Engineer (QRE),Rarr Technologies,5-8 Yrs,Not disclosed,Ahmedabad,"Relationship management, Supply chain, Product quality, Manager Quality Assurance, Production engineering, Manager Quality Control, Continuous improvement, Black Belt",https://www.naukri.com/job-listings-quality-resident-engineer-qre-rarr-technologies-ahmedabad-5-to-8-years-190225502186
UAV ENGINEER,Vimaana Aerospace Technologies,1-4 Yrs,Not disclosed,Noida,"project management, mechanical engineering, production, engineering, engineering management, autocad, design engineering, catia",https://www.naukri.com/job-listings-uav-engineer-vimaana-aerospace-technologies-noida-1-to-4-years-170924500533
Associate- Production Planning & Control,Mirrow Trade,2-5 Yrs,Not disclosed,Surat,"Supply chain, Production planning control, Resource allocation, Production Associate, Production, Control plan, Production planning, Supply",https://www.naukri.com/job-listings-associate-production-planning-control-ompax-lifestyle-private-limited-surat-2-to-5-years-150724501029
Associate Production,Muthiahs,1-4 Yrs,Not disclosed,Tenkasi,"production management, daily production planning, manpower handling, shift planning, production, rejection control, manufacturing, line balancing",https://www.naukri.com/job-listings-associate-production-muthiahs-farm-product-tenkasi-1-to-4-years-150324500005
Assistant Engineer,IES Master,2-7 Yrs,Not disclosed,"Guwahati, Silchar, Dibrugarh, Tezpur, Nagaon","quality control, mechanical engineering, production, plc, preventive maintenance, engineering, autocad, kaizen",https://www.naukri.com/job-listings-assistant-engineer-ies-master-guwahati-silchar-dibrugarh-tezpur-nagaon-2-to-7-years-170225504373
